judul_berita,penulis_berita,url_berita,media_online,tanggal_berita_dt,top_keyword,lex_match,fuzz_score,embed_sim,relevance_score,is_relevant
"Berbatik Lengan Panjang, Sudewo Penuhi Lagi Panggilan KPK soal Korupsi DJKA",Tidak Diketahui,https://www.liputan6.com/news/read/6165329/berbatik-lengan-panjang-sudewo-penuhi-lagi-panggilan-kpk-soal-korupsi-djka,liputan6,2025-09-22 11:36:04+07:00,diskusi banggar dpr,0.0,0.277,0.755,0.536,False
"Rupiah Melemah, Dolar AS Makin Perkasa Naik ke Rp16.600Market45 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/market/20250922143655-17-669124/rupiah-melemah-dolar-as-makin-perkasa-naik-ke-rp16600,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.283,0.751,0.535,False
Menkeu Purbaya Tampil Perdana Beberkan Kondisi APBN Agustus 2025: Kita Perlu Waspada Kondisi Global,,https://www.tribunnews.com/bisnis/7731936/menkeu-purbaya-tampil-perdana-beberkan-kondisi-apbn-agustus-2025-kita-perlu-waspada-kondisi-global,tribunnews,2025-09-22 15:18:00+07:00,suntikan dana rp200 triliun,0.0,0.27,0.757,0.535,False
Cek Fakta: Tidak Benar Link Pendaftaran Bibit Pohon Gratis dari Kemenhut,Tidak Diketahui,https://www.liputan6.com/cek-fakta/read/6165199/cek-fakta-tidak-benar-link-pendaftaran-bibit-pohon-gratis-dari-kemenhut,liputan6,2025-09-22 13:03:36+07:00,makan bergizi gratis,0.0,0.326,0.726,0.533,False
"Saham Haji Isam Terbang Lagi, Diam-diam Hartanya Tembus Rp 54 TMarket1 jam yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/market/20250922130224-17-669065/saham-haji-isam-terbang-lagi-diam-diam-hartanya-tembus-rp-54-t,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.288,0.742,0.532,False
"Soal Perpres Kenaikan Gaji ASN hingga Pejabat, Menkeu Purbaya Bilang Begini",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164905/soal-perpres-kenaikan-gaji-asn-hingga-pejabat-menkeu-purbaya-bilang-begini,liputan6,2025-09-21 16:30:23+07:00,suntikan dana rp200 triliun,0.0,0.333,0.719,0.531,False
Kunci Jawaban Bahasa Indonesia Kelas 2 Halaman 33: Menulis,,https://www.tribunnews.com/pendidikan/7731923/kunci-jawaban-bahasa-indonesia-kelas-2-halaman-33-menulis,tribunnews,2025-09-22 15:04:00+07:00,suntikan dana rp200 triliun,0.0,0.282,0.74,0.529,False
Libur Nasional Oktober: Simak Jadwal Lengkap Tanggal Merah dan Cuti Bersama 2025,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165451/libur-nasional-oktober-simak-jadwal-lengkap-tanggal-merah-dan-cuti-bersama-2025,liputan6,2025-09-22 15:15:07+07:00,diskusi banggar dpr,0.0,0.303,0.728,0.528,False
Peran Vital Gas Bumi Jaga Keandalan Listrik Nasional,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164968/peran-vital-gas-bumi-jaga-keandalan-listrik-nasional,liputan6,2025-09-21 20:30:49+07:00,suntikan dana rp200 triliun,0.0,0.278,0.741,0.528,False
"Belajar dari Pandemi, PKS Luncurkan Gerakan Kader Sehat",,https://www.tribunnews.com/nasional/7731619/belajar-dari-pandemi-pks-luncurkan-gerakan-kader-sehat,tribunnews,2025-09-21 20:42:00+07:00,suntikan dana rp200 triliun,0.0,0.317,0.721,0.528,False
"CEO Tewas Jatuh dari Gunung 900 Meter, Begini KronologinyaTech54 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/tech/20250922135451-37-669096/ceo-tewas-jatuh-dari-gunung-900-meter-begini-kronologinya,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.243,0.756,0.527,False
KPK 'Bidik' Wahyudin Moridu Usai Viral Mau Rampok Uang Negara,Tidak Diketahui,https://www.liputan6.com/news/read/6165289/kpk-bidik-wahyudin-moridu-usai-viral-mau-rampok-uang-negara,liputan6,2025-09-22 10:56:20+07:00,diskusi banggar dpr,0.0,0.325,0.715,0.527,False
"Astra International Buka Lowongan Kerja Terbaru, Daftar di Link Ini",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6160975/astra-international-buka-lowongan-kerja-terbaru-daftar-di-link-ini,liputan6,2025-09-22 07:00:59+07:00,suntikan dana rp200 triliun,0.0,0.34,0.709,0.527,False
Top 3: Daftar Hari Libur Nasional dan Cuti Bersama 2026,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164584/top-3-daftar-hari-libur-nasional-dan-cuti-bersama-2026,liputan6,2025-09-21 07:00:36+07:00,suntikan dana rp200 triliun,0.0,0.268,0.744,0.527,False
BPOM Jawab Desakan KPAI Setop Sementara MBG: Kita Perbaiki yang Belum Sesuai Harapan,Tidak Diketahui,https://www.liputan6.com/news/read/6165441/bpom-jawab-desakan-kpai-setop-sementara-mbg-kita-perbaiki-yang-belum-sesuai-harapan,liputan6,2025-09-22 13:36:09+07:00,MBG,1.0,0.069,0.672,0.524,False
"Pelindo Rombak Jajaran Direksi dan Komisaris, Hapus Jabatan Wakil Dirut",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165338/pelindo-rombak-jajaran-direksi-dan-komisaris-hapus-jabatan-wakil-dirut,liputan6,2025-09-22 11:49:39+07:00,diskusi banggar dpr,0.0,0.289,0.729,0.524,False
Gerhana Matahari Parsial: Waktu dan Cara Menyaksikannya,Tidak Diketahui,https://www.liputan6.com/news/read/6164883/gerhana-matahari-parsial-waktu-dan-cara-menyaksikannya,liputan6,2025-09-21 15:35:31+07:00,makan bergizi gratis,0.0,0.24,0.751,0.523,False
"Kuasa Hukum Ahmad Dhani Disentil Lita Gading usai Beri Keterangan soal Kasus SA, Putri Kliennya",,https://www.tribunnews.com/seleb/7731958/kuasa-hukum-ahmad-dhani-disentil-lita-gading-usai-beri-keterangan-soal-kasus-sa-putri-kliennya,tribunnews,2025-09-22 15:47:00+07:00,suntikan dana rp200 triliun,0.0,0.279,0.731,0.522,False
KPK Tepis Isu Intervensi Istana dalam Penetapan Tersangka Korupsi Kuota Haji,,https://www.tribunnews.com/nasional/7731939/kpk-tepis-isu-intervensi-istana-dalam-penetapan-tersangka-korupsi-kuota-haji,tribunnews,2025-09-22 15:21:00+07:00,suntikan dana rp200 triliun,0.0,0.291,0.725,0.522,False
Pemalsu Cukai Rokok Siap-Siap Dikejar Menkeu Purbaya,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164884/pemalsu-cukai-rokok-siap-siap-dikejar-menkeu-purbaya,liputan6,2025-09-21 17:00:16+07:00,diskusi banggar dpr,0.0,0.282,0.726,0.52,False
Kunci Jawaban Informatika Kelas 5 Halaman 57 Kurikulum Merdeka Bab 3: Soal HOTS,,https://www.tribunnews.com/pendidikan/7731586/kunci-jawaban-informatika-kelas-5-halaman-57-kurikulum-merdeka-bab-3-soal-hots,tribunnews,2025-09-21 18:05:00+07:00,suntikan dana rp200 triliun,0.0,0.264,0.734,0.52,False
"6 Hoaks Sepekan, dari Manipulasi Judul Artikel sampai Bantuan",Tidak Diketahui,https://www.liputan6.com/cek-fakta/read/6165156/6-hoaks-sepekan-dari-manipulasi-judul-artikel-sampai-bantuan,liputan6,2025-09-22 11:00:02+07:00,makan bergizi gratis,0.0,0.296,0.718,0.519,False
Danpuspom TNI Tertibkan Penggunaan Strobo-Sirine Tot Tot Wuk Wuk: Kadang Ganggu dan Pancin...,Tidak Diketahui,https://www.liputan6.com/news/read/6165411/danpuspom-tni-tertibkan-penggunaan-strobo-sirine-tot-tot-wuk-wuk-kadang-ganggu-dan-pancing-emosi,liputan6,2025-09-22 13:01:51+07:00,diskusi banggar dpr,0.0,0.232,0.749,0.519,False
"Gunung Marapi Meletus Lagi Minggu Sore, Warga Diminta Jauhi Radius 3 Kilometer",Tidak Diketahui,https://www.liputan6.com/news/read/6164940/gunung-marapi-meletus-lagi-minggu-sore-warga-diminta-jauhi-radius-3-kilometer,liputan6,2025-09-21 17:41:50+07:00,diskusi banggar dpr,0.0,0.247,0.741,0.519,False
Mendagri Tito Karnavian Ajak KAHMI jadi Motor Perubahan Menuju Indonesia Emas 2045,Tidak Diketahui,https://www.liputan6.com/news/read/6164876/mendagri-tito-karnavian-ajak-kahmi-jadi-motor-perubahan-menuju-indonesia-emas-2045,liputan6,2025-09-21 15:25:25+07:00,suntikan dana rp200 triliun,0.0,0.257,0.737,0.519,False
Kapan Libur Idul Fitri 2026? Simak Daftar 25 Hari Libur Nasional dan Cuti Bersama Tahun Depan,,https://www.tribunnews.com/nasional/7731907/kapan-libur-idul-fitri-2026-simak-daftar-25-hari-libur-nasional-dan-cuti-bersama-tahun-depan,tribunnews,2025-09-22 14:42:00+07:00,suntikan dana rp200 triliun,0.0,0.2,0.764,0.519,False
"Pilihan Skema Berlangganan Baterai VinFast, Diklaim Lebih Hemat Sampai Rp 113 Juta",,https://www.tribunnews.com/otomotif/7731934/pilihan-skema-berlangganan-baterai-vinfast-diklaim-lebih-hemat-sampai-rp-113-juta,tribunnews,2025-09-22 15:15:00+07:00,diskusi banggar dpr,0.0,0.297,0.717,0.519,False
"Eza Gionino Optimis Rujuk dengan Sang Istri Meiza Aulia, Ada Kesepakatan Saat Mediasi",,https://www.tribunnews.com/seleb/7731950/eza-gionino-optimis-rujuk-dengan-sang-istri-meiza-aulia-ada-kesepakatan-saat-mediasi,tribunnews,2025-09-22 15:29:00+07:00,suntikan dana rp200 triliun,0.0,0.286,0.722,0.519,False
Buron Red Notice Kasus Pelecehan Seksual Anak di AS Ternyata Tinggal di Apartemen Mewah Bandung,,https://www.tribunnews.com/regional/7731944/buron-red-notice-kasus-pelecehan-seksual-anak-di-as-ternyata-tinggal-di-apartemen-mewah-bandung,tribunnews,2025-09-22 15:26:00+07:00,suntikan dana rp200 triliun,0.0,0.328,0.701,0.519,False
5 Penerbangan di Bandara Komodo Batal Dampak Erupsi Gunung Lewotobi,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164653/5-penerbangan-di-bandara-komodo-batal-dampak-erupsi-gunung-lewotobi,liputan6,2025-09-21 07:41:07+07:00,suntikan dana rp200 triliun,0.0,0.319,0.704,0.518,False
Eza Gionino Menangis Saat Bertemu Anak di PA Cibinong,,https://www.tribunnews.com/seleb/7731935/eza-gionino-menangis-saat-bertemu-anak-di-pa-cibinong,tribunnews,2025-09-22 15:17:00+07:00,makan bergizi gratis,0.0,0.301,0.713,0.518,False
"Purbaya Kantongi Nama Penjual Rokok Ilegal di Bukalapak, Tokopedia, CsTech11 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/tech/20250922152935-37-669152/purbaya-kantongi-nama-penjual-rokok-ilegal-di-bukalapak-tokopedia-cs,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.252,0.735,0.517,False
Infografis Korlantas Polri Larang Penggunaan Sirene dan Strobo,Tidak Diketahui,https://www.liputan6.com/news/read/6165445/infografis-korlantas-polri-larang-penggunaan-sirene-dan-strobo,liputan6,2025-09-22 13:45:33+07:00,diskusi banggar dpr,0.0,0.37,0.677,0.517,False
"Klarifikasi Kepala BKN soal PPPK: Bukan Merendahkan, Hanya Penjelasan UU",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164848/klarifikasi-kepala-bkn-soal-pppk-bukan-merendahkan-hanya-penjelasan-uu,liputan6,2025-09-21 15:00:06+07:00,suntikan dana rp200 triliun,0.0,0.242,0.741,0.517,False
Lima Tahun Lagi RI Bisa Jadi 'Raja' Kalahkan ASNews24 menit yang lalu,Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922150421-4-669144/lima-tahun-lagi-ri-bisa-jadi-raja-kalahkan-as,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.25,0.735,0.516,False
Waka MPR Tegaskan 4 Pilar Kebangsaan Acuan Lengkap Kehidupan Bernegara,Tidak Diketahui,https://news.detik.com/berita/d-8123317/waka-mpr-tegaskan-4-pilar-kebangsaan-acuan-lengkap-kehidupan-bernegara,detik,2025-09-21 00:00:00+07:00,makan bergizi gratis,0.0,0.244,0.736,0.515,False
"Malaysia Pangkas Harga BBM RON 95 Jadi Rp 7.864, Berlaku 30 September 2025",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165444/malaysia-pangkas-harga-bbm-ron-95-jadi-rp-7864-berlaku-30-september-2025,liputan6,2025-09-22 14:30:51+07:00,suntikan dana rp200 triliun,0.0,0.257,0.73,0.515,False
"Temui Puan Maharani, KSPSI Dorong Supremasi Sipil: Apapun Risikonya Kami di Garis Terdepan",,https://www.tribunnews.com/nasional/7731917/temui-puan-maharani-kspsi-dorong-supremasi-sipil-apapun-risikonya-kami-di-garis-terdepan,tribunnews,2025-09-22 14:57:00+07:00,suntikan dana rp200 triliun,0.0,0.256,0.73,0.515,False
Kakanwil Kemenag NTB: Saya Hanya Bercanda Saat Lempar Mikrofon dan Tiangnya,,https://www.tribunnews.com/regional/7731596/kakanwil-kemenag-ntb-saya-hanya-bercanda-saat-lempar-mikrofon-dan-tiangnya,tribunnews,2025-09-21 18:54:00+07:00,makan bergizi gratis,0.0,0.253,0.732,0.515,False
322 Personel Gabungan Akan Amankan Maulid Akbar di Makam Mbah Priok Jakut,Tidak Diketahui,https://news.detik.com/berita/d-8123293/322-personel-gabungan-akan-amankan-maulid-akbar-di-makam-mbah-priok-jakut,detik,2025-09-21 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.28,0.717,0.514,False
"Korlantas Polri Evaluasi Penggunaan Sirene dan Rotator Patwal, Belum Terapkan Sanksi",Tidak Diketahui,https://www.liputan6.com/news/read/6165426/korlantas-polri-evaluasi-penggunaan-sirene-dan-rotator-patwal-belum-terapkan-sanksi,liputan6,2025-09-22 13:25:03+07:00,suntikan dana rp200 triliun,0.0,0.252,0.73,0.514,False
Mahasiswa RI di New York Bangga Prabowo Jadi Presiden Pertama Tampil di PBB Setelah 10 Tah...,Tidak Diketahui,https://www.liputan6.com/news/read/6164710/mahasiswa-ri-di-new-york-bangga-prabowo-jadi-presiden-pertama-tampil-di-pbb-setelah-10-tahun,liputan6,2025-09-21 10:00:14+07:00,diskusi banggar dpr,0.0,0.214,0.749,0.514,False
"Pelanggan Pindah ke SPBU Swasta, Bos Pertamina Curhat Begini",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164669/pelanggan-pindah-ke-spbu-swasta-bos-pertamina-curhat-begini,liputan6,2025-09-21 18:00:54+07:00,makan bergizi gratis,0.0,0.325,0.695,0.514,False
"Kemenko Pemberdayaan Masyarakat Buka Lowongan Pegawai Non-ASN, Daftar di Sini",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6163102/kemenko-pemberdayaan-masyarakat-buka-lowongan-pegawai-non-asn-daftar-di-sini,liputan6,2025-09-21 08:00:31+07:00,makan bergizi gratis,0.0,0.247,0.732,0.514,False
Panglima TNI Minta Anak Buahnya Tak Nyalakan Strobo dan Sirine Saat Jalan Kosong: Tidak Et...,Tidak Diketahui,https://www.liputan6.com/news/read/6164915/panglima-tni-minta-anak-buahnya-tak-nyalakan-strobo-dan-sirine-saat-jalan-kosong-tidak-etis,liputan6,2025-09-21 16:45:04+07:00,suntikan dana rp200 triliun,0.0,0.217,0.747,0.513,False
Kementerian PKP Pastikan Rumah untuk Korban Erupsi Gunung Ruang Rampung Tahun Ini,Tidak Diketahui,https://www.liputan6.com/news/read/6165215/kementerian-pkp-pastikan-rumah-untuk-korban-erupsi-gunung-ruang-rampung-tahun-ini,liputan6,2025-09-21 09:39:52+07:00,makan bergizi gratis,0.0,0.317,0.696,0.513,False
"MBG Dinilai Masih Bermasalah, DPR Tawarkan Opsi Penanganan Langsung oleh Sekolah",,https://www.tribunnews.com/dpr-ri/7731926/mbg-dinilai-masih-bermasalah-dpr-tawarkan-opsi-penanganan-langsung-oleh-sekolah,tribunnews,2025-09-22 15:06:00+07:00,MBG,1.0,0.072,0.652,0.513,False
Putri Sulung Mpok Alpa Bantah Ada Cekcok Perihal Harta Warisan,,https://www.tribunnews.com/seleb/7731954/putri-sulung-mpok-alpa-bantah-ada-cekcok-perihal-harta-warisan,tribunnews,2025-09-22 15:42:00+07:00,diskusi banggar dpr,0.0,0.247,0.731,0.513,False
"Ganjil Genap Kembali Berlaku di Awal Pekan Senin 22 September 2025, Jangan Sampai Salah!",Tidak Diketahui,https://www.liputan6.com/news/read/6165122/ganjil-genap-kembali-berlaku-di-awal-pekan-senin-22-september-2025-jangan-sampai-salah,liputan6,2025-09-22 07:05:04+07:00,suntikan dana rp200 triliun,0.0,0.226,0.74,0.512,False
"Manfaatkan KUR BRI, Pedagang Nanas Sukses Kembangkan Produk Olahan Bernilai Jual Tinggi",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165466/manfaatkan-kur-bri-pedagang-nanas-sukses-kembangkan-produk-olahan-bernilai-jual-tinggi,liputan6,2025-09-22 14:07:33+07:00,suntikan dana rp200 triliun,0.0,0.316,0.695,0.512,False
Desain dan Inovasi Jadi Jantung Daya Saing Industri Mebel Indonesia di Pasar Global,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164958/desain-dan-inovasi-jadi-jantung-daya-saing-industri-mebel-indonesia-di-pasar-global,liputan6,2025-09-21 18:45:29+07:00,suntikan dana rp200 triliun,0.0,0.291,0.708,0.512,False
Jurus PTPN Bikin Perkebunan Makin Produktif dan Efisien,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164911/jurus-ptpn-bikin-perkebunan-makin-produktif-dan-efisien,liputan6,2025-09-21 18:30:40+07:00,suntikan dana rp200 triliun,0.0,0.341,0.683,0.512,False
Cara Warga Kontribusi untuk Jakarta yang Lebih Baik dan Nyaman,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6163327/cara-warga-kontribusi-untuk-jakarta-yang-lebih-baik-dan-nyaman,liputan6,2025-09-21 16:34:17+07:00,suntikan dana rp200 triliun,0.0,0.292,0.708,0.512,False
Kunci Jawaban Informatika Kelas 5 Halaman 58 Kurikulum Merdeka Bab 3: Remedial,,https://www.tribunnews.com/pendidikan/7731589/kunci-jawaban-informatika-kelas-5-halaman-58-kurikulum-merdeka-bab-3-remedial,tribunnews,2025-09-21 18:15:00+07:00,suntikan dana rp200 triliun,0.0,0.267,0.72,0.512,False
Tabrakan Yamaha N-Max dan Honda Vario di  Lombok Tengah Menewaskan 3 Orang,,https://www.tribunnews.com/regional/7731613/tabrakan-yamaha-n-max-dan-honda-vario-di-lombok-tengah-menewaskan-3-orang,tribunnews,2025-09-21 20:28:00+07:00,suntikan dana rp200 triliun,0.0,0.277,0.715,0.512,False
Gaya Presiden RI di Sidang PBB: Mega Pakai Kebaya-Jokowi Bahasa CampurResearch59 menit yang lalu,Tidak Diketahui,https://www.cnbcindonesia.com/research/20250922112148-128-669020/gaya-presiden-ri-di-sidang-pbb-mega-pakai-kebaya-jokowi-bahasa-campur,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.211,0.745,0.511,False
"Kapolri Tinjau Pameran Korlantas Polri, Hadirkan Inovasi Bantu Masyarakat",Tidak Diketahui,https://news.detik.com/berita/d-8124497/kapolri-tinjau-pameran-korlantas-polri-hadirkan-inovasi-bantu-masyarakat,detik,2037-09-22 00:00:00+07:00,makan bergizi gratis,0.0,0.237,0.734,0.511,False
Danpuspom: Panglima TNI Tidak Gunakan Strobo-Sirine Tot Tot Wuk Wuk,Tidak Diketahui,https://www.liputan6.com/news/read/6165489/danpuspom-panglima-tni-tidak-gunakan-strobo-sirine-tot-tot-wuk-wuk,liputan6,2025-09-22 14:20:23+07:00,diskusi banggar dpr,0.0,0.256,0.723,0.511,False
Prabowo Dijadwalkan Berpidato Usai Trump di Sesi Debat Umum Sidang PBB,Tidak Diketahui,https://www.liputan6.com/news/read/6164648/prabowo-dijadwalkan-berpidato-usai-trump-di-sesi-debat-umum-sidang-pbb,liputan6,2025-09-21 07:10:58+07:00,diskusi banggar dpr,0.0,0.292,0.706,0.511,False
Top 3 News: Mahasiswa RI di New York Bangga Prabowo Jadi Presiden Pertama Tampil di PBB Se...,Tidak Diketahui,https://www.liputan6.com/news/read/6165131/top-3-news-mahasiswa-ri-di-new-york-bangga-prabowo-jadi-presiden-pertama-tampil-di-pbb-setelah-10-tahun,liputan6,2025-09-22 08:00:05+07:00,diskusi banggar dpr,0.0,0.232,0.734,0.51,False
Top 3: Kata Menkeu Purbaya Soal Kenaikan Gaji ASN hingga Pejabat,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164997/top-3-kata-menkeu-purbaya-soal-kenaikan-gaji-asn-hingga-pejabat,liputan6,2025-09-22 06:30:24+07:00,makan bergizi gratis,0.0,0.262,0.72,0.51,False
324 Rumah Khusus Eks Pejuang Timor-Timur Sudah Ditempati,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164673/324-rumah-khusus-eks-pejuang-timor-timur-sudah-ditempati,liputan6,2025-09-21 20:00:02+07:00,diskusi banggar dpr,0.0,0.293,0.703,0.51,False
"Media Malaysia Prediksi Persib Bandung Menang atas Selangor FC, Begini Katanya!",Tidak Diketahui,https://bola.okezone.com/read/2025/09/22/261/3171668/media-malaysia-prediksi-persib-bandung-menang-atas-selangor-fc-begini-katanya,okezone,2025-09-22 15:36:00+07:00,makan bergizi gratis,0.0,0.283,0.709,0.51,False
Eza Gionino Masih Optimis Rujuk dengan Meiza Aulia demi Anak,,https://www.tribunnews.com/seleb/7731957/eza-gionino-masih-optimis-rujuk-dengan-meiza-aulia-demi-anak,tribunnews,2025-09-22 15:44:00+07:00,makan bergizi gratis,0.0,0.3,0.699,0.51,False
Purbaya Wanti-Wanti Risiko Global Masih Bayangi Ekonomi RINews1 jam yang lalu,Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922141123-4-669113/purbaya-wanti-wanti-risiko-global-masih-bayangi-ekonomi-ri,cnbc,2025-09-22 00:00:00+07:00,diskusi banggar dpr,0.0,0.25,0.724,0.509,False
"DPR Usul Penggunaan Patwal dan Strobo Cuma Khusus Pimpinan Lembaga Negara, Artis atau Lain...",Tidak Diketahui,https://www.liputan6.com/news/read/6165478/dpr-usul-penggunaan-patwal-dan-strobo-cuma-khusus-pimpinan-lembaga-negara-artis-atau-lainnya-dilarang,liputan6,2025-09-22 14:14:39+07:00,suntikan dana rp200 triliun,0.0,0.233,0.732,0.509,False
Arti Wakafa Billahi Syahida serta Tulisan Arab dan Tafsir,Tidak Diketahui,https://muslim.okezone.com/read/2025/09/22/614/3171649/arti-wakafa-billahi-syahida-serta-tulisan-arab-dan-tafsir,okezone,2025-09-22 14:26:00+07:00,makan bergizi gratis,0.0,0.312,0.692,0.509,False
Segini Biaya Operasional Kader Pengantar MBG untuk Ibu Hamil dan Balita,,https://www.tribunnews.com/nasional/7731961/segini-biaya-operasional-kader-pengantar-mbg-untuk-ibu-hamil-dan-balita,tribunnews,2025-09-22 15:52:00+07:00,MBG,1.0,0.081,0.642,0.509,False
Respons Bupati Sidoarjo soal Bakal Dilaporkan oleh Wabup ke Kemendagri,Tidak Diketahui,https://news.detik.com/berita/d-8124511/respons-bupati-sidoarjo-soal-bakal-dilaporkan-oleh-wabup-ke-kemendagri,detik,2033-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.247,0.723,0.508,False
